Make,Year,Condition,Mileage,Price,Seller Rating,Interior color,Drivetrain,Min MPG,Max MPG,Fuel type,Engine Size (L),Accidents or damage,1-owner vehicle
Nissan,2021,Used,14948.0,24995.0,4.9,Charcoal ,AWD,25.0,32.0,Gasoline ,2.5,0.0,True
Lamborghini,2022,Used,2691.0,399800.0,4.7,Nero Ade with Arancio Dryope ,AWD,13.0,18.0,Gasoline ,5.2,0.0,False
Mercedes-Benz,2017,Used,36389.0,59800.0,4.7,Black ,AWD,15.0,23.0,Gasoline ,5.5,1.0,False
Cadillac,2016,Used,96713.0,26995.0,4.381503720140973,Black ,RWD,16.0,24.0,Gasoline ,3.6,1.0,False
Jaguar,2019,Used,84674.0,26991.0,4.7,Ivory / Mineral ,AWD,17.0,26.0,Gasoline ,2.96465882923282,0.0,True
Mercedes-Benz,2020,Used,13935.0,98553.0,4.5,Black ,AWD,17.0,26.0,Gasoline ,4.0,0.0,True
Audi,2021,Used,36336.0,89994.0,4.8,Black / Express Red ,AWD,15.0,22.0,Gasoline ,4.0,0.0,False
Nissan,2015,Used,67012.0,13499.0,4.8,Charcoal ,AWD,25.0,32.0,Gasoline ,2.5,1.0,False
Rivian,2023,Used,1700.0,80000.0,4.381503720140973,Beige ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,True
Buick,2019,Used,120040.0,13995.0,4.381503720140973,Ebony ,FWD,26.0,31.0,Gasoline ,1.4,0.0,True
Kia,2023,Used,30852.0,19495.0,4.381503720140973,Black ,FWD,28.0,39.0,Gasoline ,2.0,1.0,True
Volvo,2015,Used,95063.0,13985.0,4.381503720140973,Soft Beige ,AWD,20.0,29.0,Gasoline ,2.5,0.0,False
Scion,2016,Used,35607.0,16977.0,3.8,Black ,FWD,27.0,36.0,Gasoline ,1.8,0.0,True
Kia,2019,Used,26506.0,16591.0,4.5,Black ,FWD,24.0,33.0,Gasoline ,2.4,0.0,True
Buick,2018,Used,86656.0,20501.0,4.4,Ebony w/Ebony Accents ,AWD,21.0,29.0,Gasoline ,2.0,0.0,True
Volkswagen,2017,Used,21237.0,23000.0,4.4,Titan Black ,FWD,24.0,33.0,Gasoline ,1.8,1.0,True
Volkswagen,2023,Used,8062.0,26492.0,4.4,Black ,AWD,25.0,32.0,Gasoline ,1.5,0.0,True
Subaru,2022,Certified,22414.0,29999.0,4.8,Black ,RWD,20.0,27.0,Gasoline ,2.4,1.0,True
Cadillac,2016,Used,116709.0,17988.0,4.5,Jet Black ,AWD,18.0,27.0,Gasoline ,3.6,1.0,False
Nissan,2022,Used,16168.0,25885.0,4.5,Graphite ,AWD,20.0,28.0,Gasoline ,3.5,0.0,True
Polestar,2023,Used,6419.0,35897.0,4.8,Charcoal ,FWD,20.59922502075837,28.0,Unknown,2.96465882923282,1.0,True
Rivian,2023,Used,8065.0,81497.0,4.8,Ocean Coast ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,True
Cadillac,2022,Used,23773.0,84800.0,4.381503720140973,Jet Black ,RWD,13.0,22.0,Gasoline ,6.2,0.0,True
Chevrolet,2014,Used,126870.0,8500.0,5.0,– ,FWD,20.59922502075837,28.0,Unknown,1.4,1.0,True
Jeep,2023,New,0.0,53659.0,4.3,Black ,4WD,17.0,22.0,Gasoline ,3.6,0.0,others
Polestar,2022,Used,31430.0,26477.0,4.8,Slate ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,True
BMW,2020,Used,42644.0,42479.0,4.8,Cognac ,AWD,0.0,0.0,Gasoline ,3.0,0.0,True
BMW,2020,Used,42232.0,42479.0,4.8,Black ,AWD,0.0,0.0,Gasoline ,3.0,0.0,True
Polestar,2022,Used,25406.0,26978.0,4.8,Slate ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,False
Ford,2017,Used,78109.0,30489.0,4.9,Charcoal Black ,AWD,19.0,25.0,Gasoline ,2.3,0.0,False
Audi,2017,Used,69723.0,17495.0,5.0,Rock Gray ,FWD,20.59922502075837,28.0,Hybrid ,1.4,0.0,True
Nissan,2019,Used,85317.0,14750.0,4.381503720140973,Gray ,FWD,24.0,26.0,Gasoline ,2.0,1.0,True
Kia,2015,Used,127600.0,7999.0,4.381503720140973,Black ,FWD,23.0,34.0,Gasoline ,2.4,1.0,False
