Make,Year,Condition,Mileage,Price,Seller Rating,Interior color,Drivetrain,Min MPG,Max MPG,Fuel type,Engine Size (L),Accidents or damage,1-owner vehicle
BMW,2021,Used,41867.0,40372.0,4.7,Cognac W/Contrast Stitch ,AWD,22.0,31.0,Gasoline ,3.0,0.0,True
Toyota,2023,Used,2178.0,24399.0,4.6,Black / Red ,FWD,31.0,40.0,Gasoline ,2.0,0.0,True
Chevrolet,2018,Used,11570.0,17075.0,4.0,– ,FWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,True
Porsche,2017,Used,74891.0,33800.0,4.7,Black ,AWD,17.0,23.0,Gasoline ,3.6,0.0,False
Ford,2022,Used,3581.0,25699.0,4.4,Ebony ,AWD,23.0,31.0,Gasoline ,2.0,0.0,True
Hyundai,2020,Used,61492.0,17300.0,4.8,Black ,AWD,26.0,30.0,Gasoline ,2.0,1.0,True
RAM,2018,Used,122535.0,19850.0,4.381503720140973,Black ,FWD,0.0,0.0,Gasoline ,3.6,1.0,False
Land,2022,Used,32218.0,68900.0,5.0,Ebony ,4WD,19.0,24.0,Gasoline ,2.96465882923282,0.0,False
Ford,2022,Used,97821.0,41800.0,4.1,– ,4WD,20.59922502075837,28.0,Diesel ,6.7,1.0,False
Chevrolet,2023,Used,15207.0,21537.0,4.4,Jet Black ,FWD,29.0,33.0,Gasoline ,1.3,0.0,True
Jeep,2021,Used,44950.0,33999.0,4.4,Black ,4WD,17.0,23.0,Gasoline ,2.0,0.0,False
Ford,2020,Used,15948.0,20998.0,4.381503720140973,Gray ,FWD,27.0,33.0,Gasoline ,1.5,0.0,True
Dodge,2023,New,1.0,101211.0,4.5,Sepia / Black ,RWD,13.0,21.0,Gasoline ,6.2,0.0,others
Ford,2020,Used,42032.0,18900.0,4.2,Dark Earth Gray ,AWD,26.0,31.0,Gasoline ,1.5,1.0,True
Ford,2020,Used,14009.0,22901.0,4.9,Ebony ,AWD,26.0,31.0,Gasoline ,2.0,0.0,True
Hyundai,2016,Used,97454.0,14795.0,4.381503720140973,Gray ,FWD,23.0,31.0,Gasoline ,2.0,0.0,False
Tesla,2018,Used,32119.0,35372.0,4.7,Black ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,1.0,False
BMW,2016,Used,116933.0,11444.0,4.4,Black ,RWD,23.0,35.0,Gasoline ,2.0,1.0,False
Ford,2020,Used,66969.0,19990.0,3.9,EBONY BLACK LEATHER SEATS ,AWD,23.0,31.0,Gasoline ,2.0,0.0,False
Cadillac,2017,Used,36004.0,23779.0,4.5,Jet Black ,AWD,18.0,26.0,Gasoline ,3.6,1.0,True
BMW,2018,Used,39480.0,22190.0,4.6,Mocha ,AWD,22.0,31.0,Gasoline ,2.0,0.0,False
Volkswagen,2023,Certified,6474.0,33499.0,4.9,Titan Black ,AWD,20.0,24.0,Gasoline ,2.0,0.0,True
Tesla,2016,Used,43307.0,32995.0,4.1,Black ,RWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,True
Mercedes-Benz,2023,Certified,10057.0,58777.0,4.7,Black ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,1.0,False
Porsche,2020,Used,23161.0,62999.0,4.7,Black ,AWD,17.0,22.0,Gasoline ,2.9,1.0,True
GMC,2019,Used,65956.0,20972.0,4.8,Jet Black ,AWD,24.0,28.0,Gasoline ,1.5,0.0,False
Ford,2020,Used,59635.0,27914.0,3.9,Ebony ,4WD,20.0,24.0,Gasoline ,2.3,1.0,True
RAM,2020,Used,38761.0,41551.0,4.3,Black ,4WD,19.0,24.0,Gasoline ,5.7,1.0,True
Nissan,2017,Used,82074.0,14500.0,4.8,Charcoal ,AWD,25.0,32.0,Gasoline ,2.5,0.0,True
Chevrolet,2021,Certified,31661.0,28988.0,4.7,Jet Black ,AWD,22.0,27.0,Gasoline ,3.6,0.0,True
Ford,2023,New,2.0,53970.0,4.7,– ,4WD,20.0,27.0,Gasoline ,2.3,0.0,others
Lexus,2019,Used,64395.0,60777.0,4.9,Parchment ,4WD,13.0,18.0,Gasoline ,5.7,0.0,True
Audi,2018,Used,39622.0,28995.0,4.1,Black ,AWD,23.0,27.0,Gasoline ,2.0,0.0,True
Lincoln,2021,Used,52994.0,43901.0,4.9,Medium Slate ,AWD,17.0,24.0,Gasoline ,3.0,0.0,True
Honda,2019,Used,67771.0,25950.0,4.8,Mocha ,FWD,19.0,28.0,Gasoline ,3.5,1.0,False
Jeep,2016,Used,74142.0,24759.0,4.3,Black ,4WD,16.0,20.0,Gasoline ,3.6,1.0,True
GMC,2021,Used,68742.0,37749.0,4.4,Cocoa/Dark Atmosphere ,4WD,19.0,28.0,Diesel ,2.8,0.0,True
Acura,2021,Used,25094.0,29890.0,4.7,Biege ,AWD,21.0,27.0,Gasoline ,2.0,1.0,True
Tesla,2017,Used,66472.0,26786.0,4.381503720140973,Black ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,True
Ford,2020,Used,38616.0,19846.0,4.7,Ebony ,AWD,26.0,31.0,Gasoline ,1.5,0.0,True
Kia,2023,Certified,24726.0,33000.0,4.4,Black ,AWD,23.0,28.0,Gasoline ,2.5,0.0,True
Ford,2018,Used,152788.0,17950.0,4.381503720140973,Gray ,4WD,19.0,24.0,Gasoline ,2.7,0.0,False
Chevrolet,2023,Certified,17906.0,29999.0,5.0,Jet Black ,RWD,19.0,28.0,Gasoline ,3.6,0.0,True
Mercedes-Benz,2014,Used,94789.0,26500.0,4.4,Beige ,AWD,16.0,26.0,Gasoline ,4.7,0.0,False
Genesis,2022,Used,25697.0,36698.0,4.381503720140973,Dune ,AWD,17.0,25.0,Gasoline ,3.3,0.0,True
Jeep,2018,Used,55193.0,16395.0,4.5,Black ,FWD,22.0,31.0,Gasoline ,2.4,1.0,False
Honda,2018,Used,79096.0,18985.0,4.381503720140973,Black ,FWD,30.0,38.0,Gasoline ,1.5,1.0,False
Chevrolet,2016,Used,118339.0,10995.0,4.381503720140973,Jet Black ,FWD,26.0,34.0,Gasoline ,1.4,0.0,False
Ford,2023,New,50.0,84252.0,4.8,Platinum Black ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,others
Chevrolet,2015,Used,67451.0,12995.0,4.4,Black ,AWD,24.0,31.0,Gasoline ,1.4,0.0,False
Mazda,2018,Used,53860.0,20450.0,4.381503720140973,Black ,AWD,20.59922502075837,28.0,Gasoline ,2.5,1.0,False
Lincoln,2019,Used,60602.0,21890.0,4.3,Ebony ,FWD,20.0,31.0,Gasoline ,2.0,1.0,False
Chevrolet,2014,Used,79663.0,15500.0,4.3,Black ,RWD,19.0,27.0,Gasoline ,3.6,1.0,False
Ford,2015,Used,159539.0,15999.0,4.381503720140973,Ebony ,4WD,15.0,20.0,Gasoline ,3.5,0.0,True
GMC,2019,Certified,41503.0,25500.0,4.8,Jet Black ,AWD,21.0,26.0,Gasoline ,2.0,0.0,False
Nissan,2018,Used,54758.0,19695.0,4.5,Charcoal ,AWD,25.0,32.0,Gasoline ,2.5,1.0,False
Mercedes-Benz,2016,Used,100527.0,23995.0,4.381503720140973,Black ,RWD,20.59922502075837,28.0,Diesel ,2.1,1.0,False
Chrysler,2023,New,0.0,40999.0,4.9,Black ,RWD,19.0,30.0,Gasoline ,3.6,0.0,others
Lexus,2020,Used,28343.0,33495.0,4.9,Rioja ,AWD,22.0,28.0,Gasoline ,2.0,0.0,False
Audi,2019,Used,58557.0,23990.0,4.381503720140973,Black ,AWD,22.0,27.0,Gasoline ,2.0,0.0,False
Cadillac,2019,Used,51785.0,37498.0,4.9,Black ,AWD,18.0,27.0,Gasoline ,3.6,1.0,False
Jeep,2021,Used,17721.0,32107.0,4.1,Black ,4WD,18.0,25.0,Gasoline ,3.6,0.0,True
Ford,2018,Used,74137.0,13495.0,4.381503720140973,GRAY ,FWD,21.0,29.0,Gasoline ,2.5,0.0,False
Toyota,2023,New,208.0,54729.0,4.7,Black ,AWD,29.0,32.0,Hybrid ,2.4,0.0,others
Ford,2020,Used,106008.0,23490.0,4.7,Ebony ,4WD,20.0,27.0,Gasoline ,2.3,1.0,False
Dodge,2018,Used,71857.0,25300.0,4.8,Black ,AWD,18.0,25.0,Gasoline ,3.6,1.0,False
Nissan,2023,Used,2965.0,33124.0,5.0,Charcoal ,AWD,28.0,34.0,Gasoline ,1.5,0.0,True
Jeep,2021,Used,47861.0,25387.0,4.6,Black ,4WD,18.0,25.0,Gasoline ,3.6,1.0,True
Jeep,2022,Used,2896.0,28000.0,4.0,Ruby Red ,4WD,22.0,30.0,Gasoline ,2.4,0.0,True
Subaru,2019,Used,29861.0,33995.0,4.381503720140973,Black ,AWD,22.0,22.0,Gasoline ,2.5,1.0,True
Tesla,2019,Used,54022.0,41372.0,4.7,White/Black ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,1.0,True
Toyota,2019,Used,51586.0,15980.0,4.6,Gray ,FWD,32.0,40.0,Gasoline ,1.5,1.0,True
Dodge,2018,Used,39794.0,26998.0,4.381503720140973,Black ,AWD,18.0,27.0,Gasoline ,3.6,0.0,False
Jeep,2021,Used,15943.0,124800.0,4.7,Red ,others,22.0,28.0,Diesel ,3.0,0.0,False
Jeep,2021,Used,20671.0,36000.0,4.4,Black ,4WD,0.0,0.0,Gasoline ,2.0,1.0,True
Audi,2021,Used,40257.0,39987.0,4.4,Okapi Brown ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,True
Chevrolet,2017,Used,94768.0,28588.0,4.5,Jet Black ,4WD,16.0,22.0,Gasoline ,5.3,1.0,True
Chevrolet,2021,Certified,23350.0,26986.0,4.9,Jet Black ,FWD,22.0,29.0,Gasoline ,2.0,0.0,True
Tesla,2021,Used,14769.0,26972.0,4.7,Black ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,1.0,True
Nissan,2020,Used,59927.0,48899.0,4.7,Beige ,RWD,20.59922502075837,28.0,Gasoline ,5.6,0.0,True
Subaru,2023,New,10.0,38527.0,4.9,Gray ,AWD,25.0,28.0,Gasoline ,2.5,0.0,others
Volkswagen,2021,Used,32651.0,30995.0,4.5,Titan Black ,AWD,16.0,22.0,Gasoline ,3.6,0.0,True
Toyota,2023,Used,16279.0,35985.0,4.8,Graphite ,AWD,21.0,28.0,Gasoline ,2.4,0.0,True
Kia,2016,Used,89477.0,16495.0,4.381503720140973,Stone Beige ,AWD,21.0,26.0,Gasoline ,2.4,0.0,False
Jeep,2022,New,10.0,59995.0,4.5,Global Black ,4WD,20.59922502075837,28.0,Hybrid ,2.0,0.0,others
Cadillac,2019,Used,45253.0,42898.0,4.4,Shale w/Jet Black Accents ,4WD,14.0,21.0,Gasoline ,6.2,1.0,False
GMC,2015,Used,96014.0,14999.0,4.381503720140973,Ebony ,AWD,16.0,23.0,Gasoline ,3.6,0.0,False
Chevrolet,2016,Used,111191.0,25288.0,4.4,Jet Black ,4WD,16.0,22.0,Gasoline ,5.3,0.0,True
Ford,2021,Used,33740.0,20375.0,4.4,– ,FWD,44.0,37.0,Hybrid ,2.5,0.0,False
Chrysler,2022,Used,116979.0,42990.0,4.2,Black ,AWD,20.59922502075837,28.0,Gasoline ,3.6,0.0,True
Porsche,2018,Used,36677.0,66900.0,4.9,Black ,AWD,21.0,28.0,Gasoline ,2.9,0.0,True
Lincoln,2022,Certified,24372.0,63914.0,3.9,– ,AWD,17.0,24.0,Gasoline ,3.0,0.0,True
Audi,2018,Used,84462.0,23400.0,4.3,Rock Gray / Granite Gray ,AWD,22.0,30.0,Gasoline ,2.0,0.0,True
Ford,2021,Used,42026.0,17881.0,4.5,– ,FWD,28.0,34.0,Gasoline ,1.5,0.0,True
Jeep,2023,New,21.0,65977.0,4.5,Global Black ,4WD,20.59922502075837,28.0,Hybrid ,2.0,0.0,others
Ford,2016,Used,55816.0,27500.0,4.2,Ebony ,RWD,15.0,25.0,Gasoline ,5.0,1.0,True
Hyundai,2018,Used,79920.0,11995.0,4.6,Black ,FWD,150.0,122.0,Gasoline ,2.96465882923282,1.0,False
Lincoln,2020,Certified,16578.0,30749.0,4.2,Cappuccino ,FWD,42.0,39.0,Hybrid ,2.0,0.0,True
Acura,2021,Used,19040.0,26998.0,4.381503720140973,Ebony ,FWD,24.0,34.0,Gasoline ,2.4,0.0,others
Chevrolet,2021,Used,21763.0,22377.0,4.1,Jet Black ,FWD,26.0,31.0,Gasoline ,1.5,0.0,True
Lincoln,2020,Used,21972.0,47411.0,3.9,Ebony ,AWD,20.59922502075837,28.0,Hybrid ,3.0,0.0,True
Nissan,2022,Used,36486.0,37991.0,4.9,Light Gray ,4WD,20.0,25.0,Gasoline ,3.5,1.0,True
Lexus,2020,Used,29379.0,31000.0,4.8,Black ,FWD,22.0,32.0,Gasoline ,3.5,1.0,True
Dodge,2022,Used,40922.0,39377.0,4.2,– ,AWD,14.0,22.0,Gasoline ,5.7,0.0,True
Ford,2021,Used,28097.0,28994.0,4.7,Ebony ,4WD,20.0,27.0,Gasoline ,2.3,1.0,False
Nissan,2023,New,10.0,48525.0,4.5,– ,FWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,others
Audi,2022,Used,25481.0,29499.0,4.8,Black ,AWD,23.0,30.0,Gasoline ,2.96465882923282,0.0,True
Tesla,2018,Used,87392.0,20995.0,4.4,Black ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,True
Toyota,2023,Used,9425.0,31490.0,3.9,Black ,FWD,27.0,38.0,Gasoline ,2.5,0.0,True
Land,2020,Used,22820.0,41897.0,4.8,Ebony / Ebony ,4WD,21.0,27.0,Gasoline ,2.96465882923282,0.0,True
Alfa,2020,Used,28417.0,23485.0,4.8,Black ,AWD,22.0,28.0,Gasoline ,2.0,0.0,True
Jeep,2021,Used,21780.0,29998.0,4.381503720140973,Black ,4WD,18.0,25.0,Gasoline ,3.6,0.0,True
Nissan,2019,Used,39927.0,17000.0,4.4,Charcoal ,AWD,26.0,36.0,Gasoline ,2.5,1.0,False
Audi,2019,Used,43383.0,41995.0,4.381503720140973,Black ,AWD,21.0,30.0,Gasoline ,3.0,0.0,True
Mercedes-Benz,2023,New,5.0,53180.0,4.8,– ,RWD,18.0,22.0,Gasoline ,2.0,0.0,others
Buick,2023,Used,17335.0,40000.0,4.6,Dark Galvanized w/Ebony Accents ,AWD,17.0,25.0,Gasoline ,3.6,0.0,False
Chevrolet,2017,Used,90650.0,8200.0,4.381503720140973,Black ,FWD,20.59922502075837,28.0,Gasoline ,1.4,0.0,False
Ferrari,2018,Certified,15689.0,242999.0,4.381503720140973,Beige Tradizione ,RWD,15.0,22.0,Gasoline ,3.9,0.0,False
Ford,2023,New,227.0,52200.0,4.7,Deep Cypress ,4WD,19.0,22.0,Gasoline ,2.3,0.0,others
Porsche,2023,Certified,4774.0,95000.0,4.9,Black ,AWD,18.0,22.0,Gasoline ,2.9,0.0,True
Chrysler,2020,Used,63115.0,28997.0,4.1,Black ,FWD,19.0,28.0,Gasoline ,3.6,0.0,False
Nissan,2019,Used,43895.0,23786.0,4.4,– ,AWD,20.0,28.0,Gasoline ,3.5,0.0,True
Buick,2016,Used,114688.0,15250.0,4.3,Ebony ,AWD,15.0,22.0,Gasoline ,3.6,1.0,False
Jeep,2020,Used,45259.0,32850.0,4.381503720140973,Black Leather ,4WD,18.0,25.0,Gasoline ,3.6,1.0,False
Maserati,2023,Certified,11894.0,57987.0,4.9,Black ,AWD,22.0,29.0,Gasoline ,2.96465882923282,0.0,False
Chevrolet,2017,Used,105406.0,28500.0,4.381503720140973,Black ,4WD,16.0,22.0,Gasoline ,5.3,0.0,True
Nissan,2017,Used,38703.0,14500.0,4.7,Sport Interior ,FWD,26.0,37.0,Gasoline ,2.5,1.0,True
Acura,2023,Used,5058.0,44590.0,4.7,Ebony ,AWD,21.0,29.0,Gasoline ,2.0,0.0,False
Buick,2019,Used,32729.0,27350.0,4.5,Shale ,AWD,17.0,25.0,Gasoline ,3.6,1.0,False
Honda,2018,Used,32834.0,26985.0,4.381503720140973,Gray ,AWD,25.0,31.0,Gasoline ,2.4,0.0,True
Audi,2022,Certified,9344.0,42991.0,4.7,Black ,AWD,21.0,30.0,Gasoline ,3.0,1.0,True
Chevrolet,2015,Used,111850.0,11900.0,4.381503720140973,Brownstone/Jet Black ,AWD,16.0,23.0,Gasoline ,3.6,1.0,False
INFINITI,2016,Used,83963.0,23000.0,4.4,– ,4WD,13.0,19.0,Gasoline ,5.6,1.0,False
Cadillac,2023,Certified,17023.0,95950.0,4.5,Black ,4WD,14.0,18.0,Gasoline ,6.2,0.0,True
Mazda,2015,Used,103674.0,15011.0,4.4,Black ,FWD,26.0,38.0,Gasoline ,2.5,1.0,False
BMW,2017,Used,68460.0,26999.0,4.381503720140973,Mocha Nappa Leather ,AWD,28.0,28.0,Gasoline ,3.0,0.0,others
Lexus,2021,Used,29000.0,74999.0,4.381503720140973,Red ,4WD,20.59922502075837,28.0,Gasoline ,5.7,0.0,True
Honda,2021,Used,59806.0,24699.0,4.8,Black ,AWD,27.0,32.0,Gasoline ,1.5,0.0,False
Audi,2020,Used,24590.0,38995.0,5.0,Black ,AWD,18.0,23.0,Gasoline ,3.0,0.0,True
Audi,2021,Used,22886.0,41254.0,4.5,Black ,AWD,18.0,24.0,Gasoline ,3.0,1.0,True
Honda,2019,Used,74802.0,25305.0,4.9,Gray ,FWD,19.0,28.0,Gasoline ,3.5,1.0,False
Jeep,2017,Used,75623.0,17995.0,4.381503720140973,Ski Gray ,4WD,22.0,30.0,Gasoline ,2.4,0.0,False
Chevrolet,2021,Certified,15661.0,19650.0,4.9,Jet Black ,FWD,28.0,31.0,Gasoline ,1.2,1.0,True
BMW,2021,Certified,27068.0,32995.0,4.5,Cognac ,AWD,25.0,34.0,Gasoline ,2.0,0.0,True
Dodge,2023,New,11.0,62215.0,4.5,Black Interior Color ,RWD,15.0,24.0,Gasoline ,6.4,0.0,others
Mazda,2019,Used,60292.0,16995.0,4.5,Black ,FWD,29.0,34.0,Gasoline ,2.0,1.0,False
Ford,2014,Used,123977.0,19990.0,4.381503720140973,Gray ,RWD,16.0,16.0,E85 Flex Fuel ,5.4,1.0,True
Kia,2017,Used,132830.0,8999.0,4.8,Black ,FWD,25.0,36.0,Gasoline ,2.4,0.0,False
Ford,2018,Used,45136.0,14900.0,4.381503720140973,Black ,FWD,23.0,30.0,Gasoline ,1.5,0.0,True
Volkswagen,2023,New,7.0,26571.0,4.6,Black ,FWD,29.0,40.0,Gasoline ,1.5,0.0,others
Mazda,2018,Used,60581.0,21795.0,4.381503720140973,Black ,FWD,25.0,31.0,Gasoline ,2.5,0.0,False
Cadillac,2019,Used,77882.0,41950.0,4.6,Jet Black ,4WD,14.0,21.0,Gasoline ,6.2,1.0,False
Cadillac,2023,Used,9526.0,109800.0,4.7,Jet Black ,4WD,14.0,18.0,Gasoline ,6.2,0.0,False
Mercedes-Benz,2023,Certified,2569.0,65977.0,4.7,Black ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,False
Nissan,2021,Used,15346.0,27494.0,4.6,Gray ,AWD,25.0,32.0,Gasoline ,2.5,0.0,True
Volkswagen,2021,Used,16192.0,29637.0,4.381503720140973,Titan Black ,AWD,20.0,31.0,Gasoline ,2.0,0.0,True
Dodge,2021,Used,3444.0,61490.0,4.8,Black ,RWD,13.0,22.0,Gasoline ,6.2,0.0,True
Ford,2023,New,0.0,62465.0,4.6,Medium Dark Slate ,4WD,20.59922502075837,28.0,Gasoline ,6.8,0.0,others
Honda,2020,Used,30183.0,30995.0,4.7,Gray ,FWD,19.0,28.0,Gasoline ,3.5,1.0,True
Ford,2023,New,8.0,53145.0,4.7,Dark Palazzo Gray ,RWD,20.59922502075837,28.0,E85 Flex Fuel ,3.5,0.0,others
Ford,2023,New,5942.0,79511.0,4.8,Java ,4WD,20.59922502075837,28.0,Gasoline ,3.5,0.0,others
Audi,2020,Used,34069.0,23990.0,4.6,Black ,AWD,24.0,32.0,Gasoline ,2.0,0.0,False
Subaru,2023,Used,1598.0,34749.0,4.8,Black ,AWD,26.0,33.0,Gasoline ,2.5,0.0,False
Chevrolet,2018,Used,48867.0,16950.0,4.6,Brown ,AWD,24.0,30.0,Gasoline ,1.4,0.0,False
BMW,2021,Used,20511.0,31491.0,4.381503720140973,Brown ,AWD,25.0,34.0,Gasoline ,2.0,0.0,True
Toyota,2021,Used,28922.0,34490.0,4.9,Black ,AWD,41.0,38.0,Hybrid ,2.5,0.0,True
Jeep,2019,Used,95713.0,19984.0,4.0,– ,4WD,18.0,25.0,Gasoline ,3.6,1.0,False
Lincoln,2017,Used,42639.0,23273.0,4.1,Ebony ,AWD,16.0,23.0,Gasoline ,3.7,0.0,False
Aston,2022,Used,8530.0,175000.0,4.9,Saddle Tan ,RWD,18.0,24.0,Gasoline ,4.0,0.0,True
Jeep,2018,Used,92786.0,19374.0,4.3,Black ,4WD,18.0,25.0,Gasoline ,3.6,0.0,True
INFINITI,2023,New,10.0,48159.0,4.9,Graphite ,AWD,22.0,28.0,Gasoline ,2.0,0.0,others
Ferrari,2016,Used,28325.0,209800.0,4.7,Rosso Ferrari ,RWD,15.0,22.0,Gasoline ,3.9,0.0,False
Tesla,2019,Used,81947.0,22998.0,3.8,Black ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,True
Chevrolet,2021,Used,60991.0,18997.0,4.4,Jet Black ,FWD,26.0,31.0,Gasoline ,1.5,0.0,True
Chevrolet,2016,Used,14804.0,49995.0,4.381503720140973,Jet Black  leather ,4WD,0.0,0.0,Gasoline ,6.0,0.0,False
Cadillac,2021,Used,49005.0,31659.0,4.7,Black ,FWD,19.0,26.0,Gasoline ,3.6,0.0,True
Scion,2015,Used,48474.0,22980.0,4.6,Black ,RWD,25.0,34.0,Gasoline ,2.0,0.0,True
Audi,2021,Used,46591.0,36995.0,4.8,Magma Red ,AWD,18.0,24.0,Gasoline ,3.0,0.0,True
Audi,2018,Used,62717.0,23771.0,4.7,Black ,AWD,24.0,34.0,Gasoline ,2.0,1.0,False
Kia,2019,Used,43412.0,25598.0,4.3,Satin Black ,AWD,19.0,24.0,Gasoline ,3.3,0.0,False
Audi,2017,Used,10327.0,24452.0,4.7,Black ,AWD,20.0,28.0,Gasoline ,2.0,0.0,True
Ford,2021,Used,38139.0,30749.0,4.6,Ebony With Light Slate Uppers ,4WD,20.0,27.0,Gasoline ,2.3,0.0,True
Honda,2016,Used,100267.0,14995.0,4.4,Black ,FWD,19.0,28.0,Gasoline ,3.5,1.0,True
Acura,2023,Used,2958.0,41988.0,4.8,Parchment ,AWD,21.0,27.0,Gasoline ,2.0,0.0,False
Mazda,2023,Used,1597.0,34495.0,4.8,Black ,RWD,26.0,34.0,Gasoline ,2.0,0.0,True
BMW,2019,Used,72404.0,17995.0,5.0,Black ,FWD,23.0,32.0,Gasoline ,2.0,0.0,False
Audi,2020,Used,51305.0,32529.0,4.0,Black ,AWD,18.0,23.0,Gasoline ,3.0,1.0,True
Honda,2022,Used,88907.0,21699.0,4.9,Black ,FWD,30.0,37.0,Gasoline ,2.0,0.0,True
Hyundai,2021,Used,17837.0,18435.0,4.4,Black ,FWD,31.0,41.0,Gasoline ,2.0,0.0,True
Ford,2017,Used,76000.0,10495.0,4.381503720140973,Black ,FWD,20.59922502075837,28.0,E85 Flex Fuel ,2.0,0.0,True
Dodge,2023,Used,1561.0,60654.0,4.4,Black ,RWD,15.0,24.0,Gasoline ,6.4,0.0,True
Nissan,2021,Used,71963.0,29500.0,4.7,Charcoal ,RWD,14.0,19.0,Gasoline ,5.6,0.0,True
Ford,2017,Used,92598.0,15995.0,4.4,Charcoal Black ,4WD,22.0,28.0,Gasoline ,1.5,1.0,True
Dodge,2021,Used,18944.0,34230.0,4.4,Black ,AWD,18.0,25.0,Gasoline ,3.6,1.0,True
Chevrolet,2021,Used,63367.0,16500.0,4.6,Jet Black ,AWD,23.0,30.0,Gasoline ,1.4,1.0,True
Mercedes-Benz,2021,Certified,32037.0,31590.0,4.6,Black ,AWD,23.0,33.0,Gasoline ,2.0,0.0,True
Ford,2023,New,0.0,63285.0,4.6,Medium Dark Slate ,AWD,20.59922502075837,28.0,Unknown,2.0,0.0,others
BMW,2021,Used,23625.0,59350.0,4.5,Black ,AWD,19.0,24.0,Gasoline ,3.0,0.0,True
Ford,2023,New,3864.0,57513.0,4.6,Ebony ,4WD,18.0,24.0,Gasoline ,3.0,0.0,others
Jeep,2022,Used,6084.0,28500.0,4.0,Ruby Red ,4WD,22.0,30.0,Gasoline ,2.4,1.0,True
Subaru,2023,New,6.0,36858.0,4.381503720140973,Black ,AWD,19.0,26.0,Gasoline ,2.4,0.0,others
Ford,2022,Used,20826.0,28295.0,4.6,Ebony ,AWD,23.0,31.0,Gasoline ,2.0,0.0,True
Ford,2016,Used,112128.0,7995.0,4.381503720140973,Black ,AWD,18.0,25.0,Flexible Fuel ,3.7,1.0,True
Ford,2020,Used,55144.0,26994.0,4.9,Ebony With Light Slate Uppers ,4WD,20.0,27.0,Gasoline ,2.3,0.0,False
Cadillac,2016,Used,73636.0,33950.0,4.5,Kona Brown ,4WD,15.0,21.0,Gasoline ,6.2,1.0,False
Dodge,2023,Used,39518.0,39999.0,4.0,Black ,AWD,18.0,25.0,Gasoline ,3.6,1.0,True
Mercedes-Benz,2019,Used,66362.0,21753.0,4.5,Black ,RWD,21.0,24.0,Gasoline ,2.0,1.0,True
Chevrolet,2022,Used,90264.0,17595.0,4.381503720140973,Black ,AWD,23.0,30.0,Gasoline ,1.4,0.0,True
Genesis,2023,New,12.0,41237.0,4.2,Obsidian Black ,AWD,20.0,28.0,Gasoline ,2.0,0.0,others
Mercedes-Benz,2020,Used,29524.0,32998.0,4.381503720140973,Black ,AWD,20.59922502075837,28.0,Hybrid ,2.0,0.0,False
Jeep,2023,New,6690.0,26209.0,4.4,Black ,4WD,24.0,32.0,Gasoline ,2.0,0.0,others
Ford,2022,Used,23235.0,23300.0,4.2,Dark Earth Gray ,AWD,43.0,37.0,Hybrid ,2.5,1.0,True
Alfa,2021,Used,28856.0,27869.0,4.5,Red/Black ,AWD,23.0,31.0,Gasoline ,2.0,0.0,True
Audi,2023,New,5.0,100460.0,4.7,Black ,AWD,14.0,20.0,Gasoline ,4.0,0.0,others
Lexus,2020,Used,33811.0,34988.0,4.9,Chateau ,FWD,22.0,32.0,Gasoline ,3.5,0.0,True
Jeep,2021,Used,24617.0,29974.0,4.3,Black ,4WD,18.0,25.0,Gasoline ,3.6,1.0,True
Porsche,2021,Used,15545.0,69900.0,4.7,Black ,AWD,20.59922502075837,28.0,Hybrid ,3.0,0.0,False
Audi,2023,Certified,5400.0,42991.0,4.7,Okapi Brown ,AWD,22.0,29.0,Gasoline ,2.96465882923282,0.0,True
INFINITI,2023,Certified,8826.0,70221.0,4.7,Graphite ,4WD,13.0,19.0,Gasoline ,5.6,0.0,True
Chevrolet,2021,Certified,33979.0,44486.0,4.9,Jet Black ,4WD,16.0,16.0,Gasoline ,5.3,0.0,True
Toyota,2023,Used,13054.0,42988.0,4.4,Graphite ,FWD,36.0,36.0,Hybrid ,2.5,0.0,True
Mercedes-Benz,2016,Used,52970.0,24991.0,4.2,Black ,AWD,21.0,28.0,Gasoline ,2.0,1.0,False
Toyota,2021,Used,89853.0,24969.0,4.5,Blk ,AWD,27.0,33.0,Gasoline ,2.5,1.0,True
Tesla,2017,Used,80113.0,28500.0,4.381503720140973,Black ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,1.0,True
Chevrolet,2014,Used,66657.0,16998.0,4.381503720140973,Black ,FWD,22.0,32.0,Gasoline ,2.4,0.0,True
Rivian,2023,Used,7401.0,76972.0,4.7,Forest Edge ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,True
